dwarka is also a dhaam among the chaar dhaams                                                                                                                                                                                                                	द्वारका चार धामों में एक धाम भी है
lord krishna had specially settled this amidst the sea 	भगवान कृष्ण ने इसे समुद्र के बीच में विशेष रूप से बसाया था
situated on the western railway s surendranagarokha port line this city is a coastal station	पश्चिम रेलवे की सुरेंद्रनगरओखा पोर्ट लाइन पर स्थित यह नगर समुद्र किनारे का स्टेशन है
this holy city is mathura the avatar land of lord shrikrishna on the banks of the yamuna	यमुना तट पर भगवान श्रीकृष्ण की अवतार भूमि का यह पवित्र नगर मथुरा है
mathura station is on the northeastern railway s line going to gorakhpur from agra fort and on the western railway s mumbaikotadelhi line	पूर्वोत्तर रेलवे की आगरा फोर्ट से गोरखपुर जाने वाली लाइन तथा पश्चिम रेलवे की मुंबईकोटादिल्ली लाइन पर मथुरा स्टेशन है
garhmukteshwar is a sacred pilgrimage of the hindus	गढ़मुक्तेश्वर हिंदुओं का पावन तीर्थ है
let us go to the ganges fair of garh mukteshwar	चलें गढ़ मुक्तेश्वर का गंगा मेला
the history of north india s famous and ancient religious fair held every year on the occasion of kartik poornima on the banks of the fallen purgator ganges in the garh mukteshwar of ghaziabad district	गाजियाबाद जिले के गढ़ मुक्तेश्वर में पतित पावनी गंगा के तट पर हर साल कार्तिक पूर्णिमा के अवसर पर लगने वाले उत्तर भारत के प्रसिद्ध और प्राचीन धार्मिक मेले का इतिहास लगभग पाँच हजार वर्ष पुराना है
there is full fervor of the fair this time also in garh mukteshwar and huge crowd of devotees is gathering for the holy dip	इस बार भी गढ़ मुक्तेश्वर में मेले की भरपूर गहमागहमी है और मुख्य स्नान के लिए श्रद्धालुओं की भारी भीड़ जुट रही है
the holy dip is on november	मुख्य स्नान नवंबर को है
it is said about garh mukteshwar that on looking at the detriments of the war and genocide after the disastrous war of the mahabharata yogiraj krishna dharmaraja yudhisthir and arjun regretted hugely	गढ़ मुक्तेश्वर के विषय में कहा जाता है कि महाभारत के विनाशकारी युद्ध के बाद योगीराज श्रीकृष्ण धर्मराज युधिष्ठिर व अर्जुन के मन में युद्ध की विभीषिका और नरसंहार को देखकर भारी ग्लानि हुई
they began thinking as to what should be done for the peace of the innumerable relatives colleagues and innocent people killed in the war	वे इस सोच में पड़ गए कि युद्ध में मारे गए असंख्य कुटुम्बियों बंधुओं व निर्दोष लोगों की आत्मा की शांति के लिए क्या उपाय या संस्कार किया जाए
then all decided unanimously	तब सबने एक राय से निर्णय लिया था
all the sanskars will get completed with worship of the mukteshwar mahadev at a place called shiv ballabhapur established by lord parashuram in khandavi forest yajna and a bath at the fallen purgator ganges and offering a pindadan there	खांडवी वन में भगवान परशुराम द्वारा स्थापित शिव बल्लभपुर नामक स्थान पर मुक्तेश्वर महादेव की पूजा यज्ञ तथा पतित पावनी गंगा में स्नान करने और वहाँ पिंडदान करने से सभी संस्कार पूर्ण हो जाएँगे
it is to be noted that it is shiv ballabhpur that is known as garh mukteshwar now	ज्ञात रहे कि शिव बल्लभपुर को ही अब गढ़ मुक्तेश्वर के नाम से जाना जाता है
maharaj shivi the ancestor of lord rama had spent his exile at garh muktesher	भगवान राम के पूर्वज महाराज शिवि ने अपना वानप्रस्थ गढ़ मुक्तेश्वर में ही व्यतीत किया था
maharaj shivi had lord parashuram establish the shiva temple here	महाराज शिव ने भगवान परशुराम से यहाँ शिव मंदिर की स्थापना कराई थी
at that time garh mukteshwar was the main center of ballabh sect	उस समय गढ़ मुक्तेश्वर बल्लभ संप्रदाय का मुख्य केन्द्र था
garh mukteshwar was named as shiv ballabhpur	गढ़ मुक्तेश्वर का नाम शिव बल्लभपुर पड़ा
