english,marathi
ka,क
kaa,का
ki,कि
kee,की
ku,कु
koo,कू
ke,के
kai,कै
ko,को
kau,कौ
kam,कं
kah,कः
kha,ख
khaa,खा
khi,खि
khee,खी
khu,खु
khoo,खू
khe,खे
khai,खै
kho,खो
khau,खौ
kham,खं
khah,खः
ga,ग
gaa,गा
gi,गि
gee,गी
gu,गु
goo,गू
ge,गे
gai,गै
go,गो
gau,गौ
gam,गं
gah,गः
gha,घ
ghaa,घा
ghi,घि
ghee,घी
ghu,घु
ghoo,घू
ghe,घे
ghai,घै
gho,घो
ghau,घौ
gham,घं
ghah,घः
cha,च
chaa,चा
chi,चि
chee,ची
chu,चु
choo,चू
che,चे
chai,चै
cho,चो
chau,चौ
cham,चं
chah,चः
chha,छ
chhaa,छा
chhi,छि
chhee,छी
chhu,छु
chhoo,छू
chhe,छे
chhai,छै
chho,छो
chhou,छौ
chham,छं
chhah,छः
ja,ज
jaa,जा
ji,जि
jee,जी
ju,जु
joo,जू
je,जे
jai,जै
jo,जो
jau,जौ
jam,जं
jah,जः
jha,झा
jhaa,झि
jhi,झी
jhee,झु
jhu,झू
jhoo,झे
jhe,झै
jhai,झो
jho,झौ
jhau,झं
jham,झः
jhah,त्र
tra,त्रा
traa,त्रि
tri,त्री
tree,त्रु
tru,त्रू
troo,त्रे
tre,त्रै
trai,त्रो
tro,ञौ
trau,ञं
tram,ञः
trah,ट
ta,टा
,टि
too,टू
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
tha,ठ
thaa,ठा
thi,ठि
thee,ठी
thu,ठु
thoo,ठू
the,ठे
thai,ठै
tho,ठो
thau,ठौ
tham,ठं
thah,ठः
da,ड
daa,डा
di,डि
dee,डी
du,डु
doo,डू
de,डे
dai,डै
do,डो
dau,डौ
dam,डं
dah,ढ
dha,ढा
dhaa,ढि
dhi,ढी
dhee,ढु
dhu	,ढू
dhoo,ढे
dhe,ढै
dhai,ढो
dhao,ढौ
dhau,ढं
dham,
dhah,ढः
